Manufacturer,CPU Name,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),Weight (kg),Battery,Price (VND)
lenovo,Intel Core i7 Alder Lake - 1260P,Intel,7,12,2.1,16,LPDDR5,4800,512,14.0,2880x1800,90,1.42,56.5,27990000
lenovo,Intel Core i5 Alder Lake - 1240P,Intel,5,12,1.7,8,DDR4,3200,512,14.0,1920x1080,60,1.4,60.0,23690000
lenovo,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,16,DDR4,3200,512,15.6,1920x1080,60,1.7,45.0,22590000
lenovo,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,16,DDR4,3200,512,15.6,1920x1080,60,1.67,38.0,17990000
lenovo,AMD Ryzen 5 - 5625U,AMD,5,5,2.3,8,DDR4,3200,256,14.0,1920x1080,60,1.43,45.0,14890000
lenovo,Intel Core i3 Raptor Lake - 1315U,Intel,3,13,1.2,8,DDR4,3200,512,14.0,1920x1080,60,1.41,38.0,13690000
lenovo,AMD Ryzen 5 - 5625U,AMD,5,5,2.3,8,DDR4,3200,512,15.6,1920x1080,60,1.7,38.0,13990000
lenovo,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,3200,512,15.6,1920x1080,60,1.63,45.0,11790000
dell,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,3200,512,15.6,1920x1080,120,1.67,41.0,14790000
dell,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,2666,256,15.6,1920x1080,120,1.9,41.0,13690000
dell,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,2666,256,15.6,1920x1080,120,1.83,41.0,13990000
lenovo,Intel Core i7 Raptor Lake - 1360P,Intel,7,13,2.2,16,DDR4,3200,512,16.0,1920x1200,60,1.97,47.0,27890000
dell,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,2666,512,15.6,1920x1080,120,1.9,41.0,18990000
dell,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,2666,512,15.6,1920x1080,120,1.9,41.0,14490000
dell,Intel Core i7 Raptor Lake - 1355U,Intel,7,13,1.7,16,DDR4,3200,512,15.6,1920x1080,120,1.65,54.0,25290000
dell,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,16,DDR4,2666,512,15.6,1920x1080,120,1.66,41.0,19990000
dell,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,2666,256,15.6,1920x1080,120,1.9,41.0,18590000
dell,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,8,DDR4,2666,512,15.6,1920x1080,120,1.66,41.0,18490000
dell,Intel Core i7 Raptor Lake - 1355U,Intel,7,13,1.7,8,DDR4,2666,512,15.6,1920x1080,120,1.66,54.0,21990000
dell,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,8,DDR4,2666,512,14.0,1920x1080,60,1.44,41.0,18490000
dell,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,3200,512,15.6,1920x1080,120,1.9,41.0,19790000
dell,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,3200,256,16.0,1920x1080,60,1.87,54.0,19790000
dell,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,3200,512,15.6,1920x1080,120,1.67,41.0,19490000
dell,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,2666,512,14.0,1920x1080,60,1.49,41.0,17590000
dell,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,8,DDR4,3200,512,15.6,1920x1080,120,1.63,41.0,20990000
dell,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,8,LPDDR5,4800,512,14.0,1920x1200,60,1.58,54.0,24190000
dell,Intel Core i7 Alder Lake - 1255U,Intel,7,12,1.7,8,DDR4,3200,512,16.0,1920x1200,60,1.87,54.0,25190000
dell,Intel Core i7 Raptor Lake - 13700H,Intel,7,13,2.4,16,DDR5,4800,512,15.6,3456x2160,60,1.92,86.0,74490000
dell,Intel Core i7 Raptor Lake - 1360P,Intel,7,13,2.2,16,LPDDR5,6400,512,13.4,3456x2160,60,1.28,55.0,59990000
dell,Intel Core i5 Raptor Lake - 1340P,Intel,5,13,1.9,16,LPDDR5,6000,512,13.4,3456x2160,60,1.26,55.0,54990000
dell,Intel Core i7 Raptor Lake - 13650HX,Intel,7,13,2.6,16,DDR5,4800,512,15.6,1920x1080,165,2.81,86.0,40990000
dell,Intel Core i7 Raptor Lake - 1360P,Intel,7,13,2.2,16,LPDDR5,4800,1024,14.0,2560x1600,120,1.531,54.0,32490000
dell,Intel Core i5 Raptor Lake - 1340P,Intel,5,13,1.9,16,LPDDR5,4800,512,14.0,2560x1600,120,1.78,54.0,29790000
dell,Intel Core i7 Raptor Lake - 1360P,Intel,7,13,2.2,16,LPDDR5,4800,1024,14.0,1920x1200,60,1.531,54.0,27090000
dell,Intel Core i7 Raptor Lake - 1355U,Intel,7,13,1.7,16,LPDDR5,4800,512,14.0,1920x1200,60,1.62,54.0,29490000
dell,Intel Core i7 Raptor Lake - 1355U,Intel,7,13,1.7,16,DDR4,3200,512,14.0,1920x1080,60,1.46,41.0,26290000
dell,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,16,LPDDR5,4800,512,16.0,1920x1200,60,1.9,54.0,25690000
dell,Intel Core i5 Raptor Lake - 1340P,Intel,5,13,1.9,8,LPDDR5,4800,512,16.0,1920x1200,60,1.9,54.0,23190000
dell,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,8,DDR4,3200,512,15.6,1920x1080,120,1.63,41.0,18190000
asus,AMD Ryzen 5 - 7520U,AMD,5,7,2.8,16,LPDDR5,5500,512,15.6,1920x1080,60,1.63,42.0,14490000
dell,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,8,DDR4,3200,512,14.0,1920x1080,60,1.49,41.0,19990000
asus,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,3200,512,15.6,1920x1080,60,1.7,42.0,12290000
asus,Intel Core i3 Tiger Lake - 1115G4,Intel,3,11,3.0,8,DDR4,3200,256,14.0,1920x1080,60,1.55,37.0,10990000
asus,Intel Core i5 Alder Lake - 12500H,Intel,5,12,2.5,16,DDR4,3200,1024,15.6,1920x1080,144,2.2,56.0,25990000
asus,Intel Core i5 Tiger Lake - 11400H,Intel,5,11,2.7,8,DDR4,3200,512,15.6,1920x1080,144,2.3,48.0,19990000
asus,Intel Celeron - N4020,Intel,,,1.1,4,DDR4,2400,256,15.6,1366x768,60,1.8,37.0,7890000
asus,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,16,DDR4,3200,512,16.0,1920x1200,60,1.88,42.0,18990000
asus,Intel Core i5 Raptor Lake - 13500H,Intel,5,13,2.6,16,DDR4,3200,512,15.6,1920x1080,60,1.7,50.0,20990000
asus,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,8,DDR4,3200,512,15.6,1920x1080,60,1.7,42.0,17990000
asus,Intel Core i5 Raptor Lake - 13500H,Intel,5,13,2.6,16,DDR4,3200,512,14.0,1920x1200,60,1.5,50.0,21990000
asus,Intel Core i7 Tiger Lake - 11800H,Intel,7,11,2.3,16,DDR4,3200,512,15.6,1920x1080,144,2.3,48.0,22990000
asus,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,2933,512,14.0,1920x1080,60,1.4,42.0,11990000
asus,Intel Core i5 Tiger Lake - 11400H,Intel,5,11,2.7,16,DDR4,3200,512,15.6,1920x1080,144,2.3,48.0,22990000
