_id,url,price,brand,cpu,memory,weight,screen_size,screen_resolution,graphic_name,graphic_type,storage,battery,refresh_rate
654898035b123315f9ef0429,https://www.newegg.com/p/1TS-000D-194Z1,509.79,,Intel Core i3 11th Gen,8GB,4 - 4.9 lbs.,15.6,1366 x 768,Intel UHD Graphics,Dedicated Card,1 TB,,60 Hz
654898035b123315f9ef042a,https://www.newegg.com/silver-hp-15-mainstream/p/1TS-000D-0SDE4,479.79,HP,Intel Core i3-1115G4,16GB,3 - 3.9 lbs.,15.6,1366 x 768,Intel UHD Graphics,Integrated Card,256 GB,45 whrs,60 Hz
654898045b123315f9ef042b,https://www.newegg.com/silver-hp-15-everyday-value/p/1TS-000D-18DN8,629.79,HP,Intel Core i3-1115G4,16GB,3 - 3.9 lbs.,15.6,1920 x 1080,Intel UHD Graphics,Integrated Card,1 TB,45 whrs,60 Hz
654898045b123315f9ef042c,https://www.newegg.com/silver-hp-15t/p/1TS-000D-0ME21,749.99,HP,Intel Core i5-1135G7,32GB,3 - 3.9 lbs.,15.6,1920 x 1080,Intel Iris Xe Graphics,Integrated Card,1 TB,45 whrs,60 Hz
654898045b123315f9ef042d,https://www.newegg.com/p/1TS-001A-09KA0,1784.99,ASUS,,16GB,,13.9,3300x2200,Intel Iris Xe Graphics,Integrated Card,2 TB,,60 Hz
654898045b123315f9ef042e,https://www.newegg.com/silver-hp-15-content-creation/p/1TS-000D-1AYM4,609.89,HP,Intel Core i5-1135G7,8GB,3 - 3.9 lbs.,15.6,1366 x 768,Intel Iris Xe Graphics,Integrated Card,1 TB,45 whrs,60 Hz
654898045b123315f9ef042f,https://www.newegg.com/p/1TS-000D-18TF7,679.79,,Intel Core i5 11th Gen,8GB,3 - 3.9 lbs.,14.0,1920 x 1080,Intel HD Graphics,Dedicated Card,512 GB,,60 Hz
654898045b123315f9ef0430,https://www.newegg.com/p/1TS-000D-1FCA0,1094.99,HP,,16GB,,15.6,1920 x 1080,AMD Radeon Graphics,Integrated Card,1 TB,,60 Hz
654898045b123315f9ef0431,https://www.newegg.com/silver-hp-15-mainstream/p/1TS-000D-162M0,572.79,HP,Intel Core i5-1135G7,16GB,3 - 3.9 lbs.,15.6,1920 x 1080,Intel Iris Xe Graphics,Integrated Card,256 GB,45 whrs,60 Hz
654898045b123315f9ef0432,https://www.newegg.com/silver-hp-15/p/1TS-000D-0MD55,569.99,HP,Intel Core i5-1135G7,8GB,3 - 3.9 lbs.,15.6,1920 x 1080,Intel Iris Xe Graphics,Integrated Card,256 GB,45 whrs,60 Hz
654898045b123315f9ef0433,https://www.newegg.com/p/1TS-0016-058K9,1214.99,MSI,,16GB,,15.6,1920 x 1080,Intel Iris Xe Graphics,Integrated Card,512 GB,,60 Hz
654898045b123315f9ef0434,https://www.newegg.com/silver-hp-15-mainstream/p/1TS-000D-0SU03,689.79,HP,Intel Core i5-1135G7,32GB,3 - 3.9 lbs.,15.6,1920 x 1080,Intel Iris Xe Graphics,Integrated Card,1 TB,45 whrs,60 Hz
654898045b123315f9ef0435,https://www.newegg.com/p/1TS-000D-12JX7,934,HP,,8GB,,15.6,1920 x 1080,AMD Radeon Graphics,Integrated Card,256 GB,,60 Hz
654898045b123315f9ef0436,https://www.newegg.com/p/1TS-000D-1F970,734.99,HP,,8GB,,15.6,1920 x 1080,AMD Radeon Graphics,Integrated Card,128 GB,,60 Hz
654898045b123315f9ef0437,https://www.newegg.com/dark-gray-lenovo-ideapad-3-mainstream/p/1TS-000E-12A33,789.99,Lenovo,Intel Core i7-1165G7,20GB,3 - 3.9 lbs.,14.0,1920 x 1080,Intel Iris Xe Graphics,Integrated Card,512 GB,65 whrs,60 Hz
654898045b123315f9ef0438,https://www.newegg.com/p/1TS-000D-1FH68,534.99,HP,,8GB,,17.3,1600 x 900,AMD Radeon Graphics,Integrated Card,256 GB,,60 Hz
654898045b123315f9ef0439,https://www.newegg.com/p/1TS-000D-1F9B6,864.99,HP,,8GB,,17.3,1600 x 900,AMD Radeon Graphics,Integrated Card,128 GB,,60 Hz
654898045b123315f9ef043a,https://www.newegg.com/p/1TS-000D-19505,569.79,,Intel Core i3 11th Gen,32GB,4 - 4.9 lbs.,15.6,1366 x 768,Intel UHD Graphics,Dedicated Card,1 TB,,60 Hz
654898055b123315f9ef043b,https://www.newegg.com/p/1TS-000E-17T90,777.79,,,8GB,,16.0,1920 x 1200,Intel Iris Xe Graphics,Integrated Card,1 TB PCIe,65 whrs,60 Hz
654898055b123315f9ef043c,https://www.newegg.com/p/1TS-000D-1F9Z4,534.99,HP,,8GB,,15.6,1366 x 768,AMD Radeon Graphics,Integrated Card,256 GB,,60 Hz
