Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
hp,Intel,3,11,4.1,8,,,256,14,1920x1080,,Intel,1.35,42,9190000
hp,Intel,7,13,,16,,,512,14,1920x1080,60,Intel,1.42,51,25590000
lenovo,AMD,5,5,4,16,DDR4,3200,512,15,1920x1080,60,AMD,1.58,42,10290000
hp,AMD,5,7,,16,,,512,16,1920x1080,60,NVIDIA,2.31,60,24490000
hp,Intel,5,12,4.4,8,DDR4,3200,512,15,1920x1080,60,Intel,1.71,42,16490000
lenovo,Intel,5,11,4.5,16,DDR4,3200,512,15,1920x1080,60,Intel,1.65,,13490000
lenovo,Intel,5,12,4.4,16,DDR5,4800,512,14,1920x1080,60,Intel,1.37,,13990000
lenovo,Intel,5,12,4.5,16,DDR4,3200,512,15,1920x1080,60,Intel,1.65,38,12690000
lenovo,Intel,5,13,4.7,16,DDR5,5200,512,14,1920x1200,60,Intel,1.46,42,17290000
lenovo,Intel,7,13,5,16,DDR5,5200,512,14,1920x1200,60,Intel,1.35,65,24990000
lenovo,Intel,5,11,4.5,8,DDR4,3200,256,15,1920x1080,,Intel,1.65,,10190000
lenovo,Intel,5,11,4.4,16,DDR4,4266,512,14,1920x1200,60,Intel,1.57,57,22490000
lenovo,Intel,5,12,4.4,16,DDR5,4800,512,16,1920x1200,60,Intel,1.89,42,15990000
lenovo,Intel,5,12,4.4,8,DDR4,3200,512,14,1920x1080,60,Intel,1.43,35,10990000
lenovo,Intel,7,12,4.7,16,DDR4,3200,512,15,1920x1080,,Intel,1.63,,15990000
lenovo,AMD,5,7,4.5,8,DDR5,4800,512,15,1920x1080,120,NVIDIA,2.32,60,19990000
lenovo,AMD,7,7,4.5,16,DDR4,3200,512,14,1920x1080,,AMD,1.17,,16590000
lenovo,AMD,5,7,4.3,8,LPDDR5,5500,512,15,1920x1080,60,AMD,1.58,42,9490000
lenovo,AMD,5,6,4.5,16,DDR5,4800,512,15,1920x1080,120,AMD,2.32,60,18490000
lenovo,Intel,5,13,4.6,16,DDR4,3200,512,14,1920x1200,60,Intel,1.43,47,21390000
lenovo,Intel,5,13,4.6,16,DDR4,3200,512,16,1920x1200,60,Intel,1.97,47,21990000
lenovo,Intel,7,12,4.7,8,DDR4,3200,512,14,1920x1080,60,Intel,1.64,42,21590000
lenovo,Intel,5,12,4.4,8,DDR4,3200,512,15,1920x1080,,Intel,1.63,,12490000
lenovo,Intel,7,13,5,16,DDR4,3200,512,16,1920x1200,60,Intel,1.97,42,24690000
lenovo,AMD,5,7,4.5,16,DDR4,3200,512,15,1920x1080,60,AMD,1.7,,17990000
lenovo,AMD,7,6,4.7,16,DDR5,4800,512,15,2560x1600,165,AMD,2.49,80,33990000
lenovo,AMD,5,5,4.3,8,DDR4,3200,512,15,1920x1080,60,AMD,1.85,,11490000
lenovo,AMD,5,5,4.2,8,LPDDR4X,4266,512,14,1920x1080,60,AMD,1.45,,17490000
lenovo,AMD,7,5,4.4,8,LPDDR4X,4266,512,14,1920x1080,,AMD,1.45,,17490000
lenovo,Intel,5,12,4.4,8,DDR4,3200,512,14,1920x1080,60,Intel,1.4,42,16990000
lenovo,Intel,7,11,4.7,16,LPDDR4X,4266,512,14,1920x1200,60,Intel,1.133,,47990000
lenovo,AMD,7,7,5.1,16,DDR5,5600,512,16,2560x1600,165,NVIDIA,2.4,80,37090000
lenovo,Intel,5,13,4.6,8,DDR5,5200,512,15,1920x1080,144,NVIDIA,2.4,60,29990000
lenovo,Intel,7,13,5,16,DDR5,5200,512,16,2560x1600,165,NVIDIA,2.4,80,42990000
lenovo,Intel,5,12,4.4,8,DDR4,3200,512,14,1920x1080,60,Intel,1.63,,12490000
lenovo,Intel,7,13,5,16,DDR5,5200,512,16,2560x1600,165,NVIDIA,2.4,80,36090000
lenovo,AMD,5,6,4.5,16,DDR5,6400,512,14,2560x1600,60,AMD,1.4,,26890000
lenovo,Intel,5,12,4.4,16,DDR5,4800,1024,16,1920x1200,144,Intel,1.89,56.6,16590000
lenovo,AMD,7,7,4.5,8,DDR4,3200,512,14,1920x1080,,AMD,1.17,,19990000
lenovo,AMD,5,5,4.6,8,DDR4,3200,512,15,1920x1080,60,AMD,1.78,45,21290000
acer,Intel,5,12,4.4,8,DDR4,3200,512,15,1920x1080,60,Intel,2.1,50,13990000
acer,AMD,5,5,4,16,LPDDR4X,4266,512,14,1920x1080,60,AMD,1.19,,14490000
lenovo,Intel,5,12,4.4,16,DDR5,4800,1024,14,1920x1080,144,Intel,1.37,47,15690000
acer,Intel,3,12,4.4,8,DDR4,3200,256,15,1920x1080,60,Intel,1.7,42,8690000
acer,Intel,5,11,4.5,8,DDR4,3200,512,15,1920x1080,144,NVIDIA,2.5,,17190000
acer,AMD,5,5,4.3,16,DDR4,3200,512,15,1920x1080,144,NVIDIA,2.1,53,16490000
