Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
lenovo,Intel,5,1340,4.0,16,DDR4,3200,512,16.0,1920 x 1200,60,Intel,1.0,47,21990000
lenovo,Intel,7,1255,4.0,8,DDR4,3200,512,14.0,1920 x 1080,60,Intel,1.0,3,21590000
lenovo,Intel,5,1235,4.0,8,DDR4,3200,512,15.0,1920 x 1080,,Intel,1.0,,12490000
lenovo,Intel,7,1355,5.0,16,DDR4,3200,512,16.0,1920 x 1200,60,Intel,1.0,3,24690000
lenovo,AMD,5,7530,4.0,16,DDR4,3200,512,15.0,1920 x 1080,60,AMD,1.0,,17990000
lenovo,AMD,7,6800,4.0,16,DDR5,4800,512,15.0,2560 x 1600,165,AMD,2.0,80,33990000
lenovo,AMD,5,5625,4.0,8,DDR4,3200,512,15.0,1920 x 1080,60,AMD,1.0,,11490000
lenovo,AMD,5,5600,4.0,8,LPDDR4X,4266,512,14.0,1920 x 1080,60,AMD,1.0,,17490000
lenovo,AMD,7,5800,4.0,8,LPDDR4X,4266,512,14.0,1920 x 1080,,AMD,1.0,,17490000
lenovo,Intel,5,1235,4.0,8,DDR4,3200,512,14.0,1920 x 1080,60,Intel,1.0,3,16990000
lenovo,Intel,7,1165,4.0,16,LPDDR4X,4266,512,14.0,1920 x 1200,60,Intel,1.0,,47990000
lenovo,AMD,7,7840,5.0,16,DDR5,5600,512,16.0,2560 x 1600,165,NVIDIA,2.0,80,37090000
lenovo,Intel,5,13400,4.0,8,DDR5,5200,512,15.0,1920 x 1080,144,NVIDIA,2.0,60,29990000
lenovo,Intel,7,13700,5.0,16,DDR5,5200,512,16.0,2560 x 1600,165,NVIDIA,2.0,80,42990000
lenovo,Intel,5,1235,4.0,8,DDR4,3200,512,14.0,1920 x 1080,60,Intel,1.0,,12490000
lenovo,Intel,7,13700,5.0,16,DDR5,5200,512,16.0,2560 x 1600,165,NVIDIA,2.0,80,36090000
lenovo,AMD,5,6600,4.0,16,DDR5,6400,512,1.0,1080 x 2240,60,AMD,1.0,,26890000
lenovo,Intel,5,12450,4.0,16,DDR5,4800,1,16.0,1920 x 1200,144,Intel,1.0,56,16590000
